t,acc
0,-6.09E-02
0.01,-6.09E-02
0.02,-6.09E-02
0.03,-6.09E-02
0.04,-6.10E-02
0.05,-6.10E-02
0.06,-6.10E-02
0.07,-6.10E-02
0.08,-6.10E-02
0.09,-6.10E-02
0.1,-6.10E-02
0.11,-6.10E-02
0.12,-6.11E-02
0.13,-6.10E-02
0.14,-6.10E-02
0.15,-6.11E-02
0.16,-6.11E-02
0.17,-6.10E-02
0.18,-6.10E-02
0.19,-6.12E-02
0.2,-6.11E-02
0.21,-6.10E-02
0.22,-6.11E-02
0.23,-6.11E-02
0.24,-6.11E-02
0.25,-6.12E-02
0.26,-6.11E-02
0.27,-6.11E-02
0.28,-6.13E-02
0.29,-6.11E-02
0.3,-6.10E-02
0.31,-6.13E-02
0.32,-6.12E-02
0.33,-6.13E-02
0.34,-6.12E-02
0.35,-6.10E-02
0.36,-6.10E-02
0.37,-6.11E-02
0.38,-6.16E-02
0.39,-6.16E-02
0.4,-6.10E-02
0.41,-6.08E-02
0.42,-6.10E-02
0.43,-6.15E-02
0.44,-6.19E-02
0.45,-6.15E-02
0.46,-6.10E-02
0.47,-6.08E-02
0.48,-6.13E-02
0.49,-6.22E-02
0.5,-6.09E-02
0.51,-6.02E-02
0.52,-6.23E-02
0.53,-6.21E-02
0.54,-6.05E-02
0.55,-6.10E-02
0.56,-6.18E-02
0.57,-6.12E-02
0.58,-6.12E-02
0.59,-6.25E-02
0.6,-6.17E-02
0.61,-6.00E-02
0.62,-6.12E-02
0.63,-6.26E-02
0.64,-6.16E-02
0.65,-6.11E-02
0.66,-6.11E-02
0.67,-6.11E-02
0.68,-6.17E-02
0.69,-6.16E-02
0.7,-6.16E-02
0.71,-6.12E-02
0.72,-6.12E-02
0.73,-6.23E-02
0.74,-6.24E-02
0.75,-6.12E-02
0.76,-6.05E-02
0.77,-6.18E-02
0.78,-6.14E-02
0.79,-6.17E-02
0.8,-6.17E-02
0.81,-6.08E-02
0.82,-6.24E-02
0.83,-6.15E-02
0.84,-6.20E-02
0.85,-6.17E-02
0.86,-6.00E-02
0.87,-6.17E-02
0.88,-6.33E-02
0.89,-6.27E-02
0.9,-6.00E-02
0.91,-6.03E-02
0.92,-6.26E-02
0.93,-6.28E-02
0.94,-6.23E-02
0.95,-6.09E-02
0.96,-6.09E-02
0.97,-6.12E-02
0.98,-6.22E-02
0.99,-6.26E-02
1,-6.12E-02
1.01,-6.23E-02
1.02,-6.19E-02
1.03,-6.07E-02
1.04,-6.13E-02
1.05,-6.21E-02
1.06,-6.23E-02
1.07,-6.24E-02
1.08,-6.19E-02
1.09,-6.05E-02
1.1,-6.24E-02
1.11,-6.30E-02
1.12,-5.99E-02
1.13,-6.07E-02
1.14,-6.37E-02
1.15,-6.30E-02
1.16,-6.15E-02
1.17,-6.12E-02
1.18,-6.11E-02
1.19,-6.16E-02
1.2,-6.20E-02
1.21,-6.31E-02
1.22,-6.32E-02
1.23,-6.12E-02
1.24,-6.06E-02
1.25,-6.07E-02
1.26,-6.18E-02
1.27,-6.38E-02
1.28,-6.33E-02
1.29,-6.14E-02
1.3,-6.17E-02
1.31,-6.24E-02
1.32,-6.14E-02
1.33,-6.11E-02
1.34,-6.17E-02
1.35,-6.30E-02
1.36,-6.26E-02
1.37,-6.16E-02
1.38,-6.15E-02
1.39,-6.16E-02
1.4,-6.14E-02
1.41,-6.15E-02
1.42,-6.32E-02
1.43,-6.22E-02
1.44,-6.35E-02
1.45,-6.38E-02
1.46,-6.12E-02
1.47,-6.14E-02
1.48,-5.99E-02
1.49,-6.23E-02
1.5,-6.28E-02
1.51,-6.23E-02
1.52,-6.38E-02
1.53,-6.16E-02
1.54,-6.06E-02
1.55,-6.25E-02
1.56,-6.51E-02
1.57,-6.03E-02
1.58,-5.93E-02
1.59,-6.46E-02
1.6,-6.56E-02
1.61,-6.32E-02
1.62,-5.85E-02
1.63,-6.13E-02
1.64,-6.33E-02
1.65,-5.99E-02
1.66,-6.20E-02
1.67,-6.48E-02
1.68,-6.40E-02
1.69,-5.97E-02
1.7,-6.07E-02
1.71,-6.53E-02
1.72,-6.23E-02
1.73,-6.36E-02
1.74,-6.27E-02
1.75,-5.85E-02
1.76,-6.43E-02
1.77,-6.35E-02
1.78,-5.89E-02
1.79,-6.18E-02
1.8,-6.45E-02
1.81,-6.41E-02
1.82,-6.20E-02
1.83,-5.99E-02
1.84,-6.32E-02
1.85,-6.53E-02
1.86,-6.28E-02
1.87,-6.19E-02
1.88,-5.90E-02
1.89,-6.34E-02
1.9,-6.70E-02
1.91,-6.20E-02
1.92,-5.99E-02
1.93,-6.12E-02
1.94,-6.33E-02
1.95,-6.19E-02
1.96,-6.16E-02
1.97,-6.24E-02
1.98,-6.46E-02
1.99,-6.28E-02
2,-6.09E-02
2.01,-6.25E-02
2.02,-6.14E-02
2.03,-6.70E-02
2.04,-6.36E-02
2.05,-5.99E-02
2.06,-6.06E-02
2.07,-6.06E-02
2.08,-6.96E-02
2.09,-6.31E-02
2.1,-5.86E-02
2.11,-5.99E-02
2.12,-6.30E-02
2.13,-6.85E-02
2.14,-6.20E-02
2.15,-6.02E-02
2.16,-5.89E-02
2.17,-6.44E-02
2.18,-6.74E-02
2.19,-6.39E-02
2.2,-6.11E-02
2.21,-5.57E-02
2.22,-6.58E-02
2.23,-6.60E-02
2.24,-5.95E-02
2.25,-6.37E-02
2.26,-6.37E-02
2.27,-6.39E-02
2.28,-5.95E-02
2.29,-6.13E-02
2.3,-6.58E-02
2.31,-6.53E-02
2.32,-6.58E-02
2.33,-5.83E-02
2.34,-6.02E-02
2.35,-6.51E-02
2.36,-6.28E-02
2.37,-6.36E-02
2.38,-5.87E-02
2.39,-6.46E-02
2.4,-6.77E-02
2.41,-6.27E-02
2.42,-6.45E-02
2.43,-5.56E-02
2.44,-6.07E-02
2.45,-6.84E-02
2.46,-6.74E-02
2.47,-6.26E-02
2.48,-5.67E-02
2.49,-6.68E-02
2.5,-5.87E-02
2.51,-6.01E-02
2.52,-6.35E-02
2.53,-6.61E-02
2.54,-7.55E-02
2.55,-5.34E-02
2.56,-5.55E-02
2.57,-6.28E-02
2.58,-6.53E-02
2.59,-7.13E-02
2.6,-5.88E-02
2.61,-6.20E-02
2.62,-6.34E-02
2.63,-6.68E-02
2.64,-6.46E-02
2.65,-5.95E-02
2.66,-6.74E-02
2.67,-6.09E-02
2.68,-6.05E-02
2.69,-6.26E-02
2.7,-6.22E-02
2.71,-6.34E-02
2.72,-6.28E-02
2.73,-6.94E-02
2.74,-6.66E-02
2.75,-5.85E-02
2.76,-5.23E-02
2.77,-5.81E-02
2.78,-7.43E-02
2.79,-7.03E-02
2.8,-5.98E-02
2.81,-6.17E-02
2.82,-6.73E-02
2.83,-6.33E-02
2.84,-5.14E-02
2.85,-6.62E-02
2.86,-7.45E-02
2.87,-5.69E-02
2.88,-6.17E-02
2.89,-6.08E-02
2.9,-6.14E-02
2.91,-7.30E-02
2.92,-6.59E-02
2.93,-6.17E-02
2.94,-5.59E-02
2.95,-6.46E-02
2.96,-6.82E-02
2.97,-5.14E-02
2.98,-6.68E-02
2.99,-7.55E-02
3,-6.43E-02
3.01,-6.11E-02
3.02,-5.92E-02
3.03,-6.05E-02
3.04,-6.11E-02
3.05,-6.93E-02
3.06,-6.92E-02
3.07,-5.89E-02
3.08,-5.72E-02
3.09,-6.54E-02
3.1,-6.59E-02
3.11,-6.14E-02
3.12,-6.42E-02
3.13,-6.50E-02
3.14,-6.55E-02
3.15,-6.10E-02
3.16,-6.86E-02
3.17,-6.22E-02
3.18,-5.46E-02
3.19,-7.08E-02
3.2,-6.49E-02
3.21,-6.08E-02
3.22,-6.09E-02
3.23,-6.09E-02
3.24,-6.51E-02
3.25,-6.41E-02
3.26,-6.95E-02
3.27,-6.44E-02
3.28,-5.73E-02
3.29,-6.03E-02
3.3,-6.57E-02
3.31,-6.79E-02
3.32,-6.71E-02
3.33,-6.67E-02
3.34,-6.46E-02
3.35,-6.32E-02
3.36,-5.61E-02
3.37,-5.82E-02
3.38,-6.60E-02
3.39,-6.93E-02
3.4,-7.23E-02
3.41,-6.16E-02
3.42,-5.71E-02
3.43,-6.12E-02
3.44,-6.63E-02
3.45,-6.62E-02
3.46,-5.66E-02
3.47,-6.53E-02
3.48,-7.28E-02
3.49,-5.88E-02
3.5,-5.59E-02
3.51,-6.92E-02
3.52,-6.46E-02
3.53,-6.37E-02
3.54,-6.91E-02
3.55,-5.64E-02
3.56,-5.93E-02
3.57,-7.19E-02
3.58,-7.12E-02
3.59,-5.98E-02
3.6,-5.85E-02
3.61,-6.73E-02
3.62,-6.63E-02
3.63,-6.38E-02
3.64,-6.25E-02
3.65,-6.40E-02
3.66,-6.37E-02
3.67,-6.50E-02
3.68,-6.24E-02
3.69,-6.03E-02
3.7,-6.73E-02
3.71,-6.23E-02
3.72,-6.82E-02
3.73,-6.99E-02
3.74,-5.41E-02
3.75,-6.12E-02
3.76,-6.62E-02
3.77,-5.98E-02
3.78,-6.35E-02
3.79,-7.24E-02
3.8,-6.96E-02
3.81,-5.57E-02
3.82,-5.93E-02
3.83,-7.13E-02
3.84,-6.93E-02
3.85,-5.73E-02
3.86,-6.04E-02
3.87,-6.55E-02
3.88,-6.23E-02
3.89,-7.17E-02
3.9,-6.74E-02
3.91,-6.12E-02
3.92,-5.83E-02
3.93,-5.78E-02
3.94,-7.10E-02
3.95,-6.69E-02
3.96,-6.76E-02
3.97,-6.74E-02
3.98,-5.38E-02
3.99,-5.77E-02
4,-6.93E-02
4.01,-7.94E-02
4.02,-7.08E-02
4.03,-5.08E-02
4.04,-5.15E-02
4.05,-6.14E-02
4.06,-7.14E-02
4.07,-7.87E-02
4.08,-6.79E-02
4.09,-5.46E-02
4.1,-5.94E-02
4.11,-6.02E-02
4.12,-6.47E-02
4.13,-7.49E-02
4.14,-6.43E-02
4.15,-5.66E-02
4.16,-5.93E-02
4.17,-6.88E-02
4.18,-7.11E-02
4.19,-5.99E-02
4.2,-6.58E-02
4.21,-6.66E-02
4.22,-5.96E-02
4.23,-6.46E-02
4.24,-7.04E-02
4.25,-6.81E-02
4.26,-5.53E-02
4.27,-5.64E-02
4.28,-7.49E-02
4.29,-8.13E-02
4.3,-6.31E-02
4.31,-4.62E-02
4.32,-5.11E-02
4.33,-7.21E-02
4.34,-8.32E-02
4.35,-6.38E-02
4.36,-5.88E-02
4.37,-6.30E-02
4.38,-5.56E-02
4.39,-6.54E-02
4.4,-7.08E-02
4.41,-6.80E-02
4.42,-6.33E-02
4.43,-5.76E-02
4.44,-6.30E-02
4.45,-7.51E-02
4.46,-7.39E-02
4.47,-5.68E-02
4.48,-5.86E-02
4.49,-6.28E-02
4.5,-6.39E-02
4.51,-6.72E-02
4.52,-6.46E-02
4.53,-7.11E-02
4.54,-5.95E-02
4.55,-5.07E-02
4.56,-6.41E-02
4.57,-6.84E-02
4.58,-7.66E-02
4.59,-7.17E-02
4.6,-5.80E-02
4.61,-6.53E-02
4.62,-6.69E-02
4.63,-6.44E-02
4.64,-6.18E-02
4.65,-5.79E-02
4.66,-6.07E-02
4.67,-6.53E-02
4.68,-7.48E-02
4.69,-6.95E-02
4.7,-6.18E-02
4.71,-6.32E-02
4.72,-6.10E-02
4.73,-6.72E-02
4.74,-6.63E-02
4.75,-6.45E-02
4.76,-6.13E-02
4.77,-6.01E-02
4.78,-7.07E-02
4.79,-6.41E-02
4.8,-6.50E-02
4.81,-7.15E-02
4.82,-6.82E-02
4.83,-6.63E-02
4.84,-5.66E-02
4.85,-5.51E-02
4.86,-6.78E-02
4.87,-7.75E-02
4.88,-7.14E-02
4.89,-6.00E-02
4.9,-5.01E-02
4.91,-5.76E-02
4.92,-6.64E-02
4.93,-7.14E-02
4.94,-7.77E-02
4.95,-6.03E-02
4.96,-5.78E-02
4.97,-6.49E-02
4.98,-7.32E-02
4.99,-6.28E-02
5,-5.47E-02
5.01,-7.64E-02
5.02,-6.68E-02
5.03,-6.11E-02
5.04,-6.48E-02
5.05,-6.28E-02
5.06,-5.91E-02
5.07,-6.77E-02
5.08,-8.19E-02
5.09,-6.21E-02
5.1,-6.33E-02
5.11,-7.14E-02
5.12,-5.52E-02
5.13,-5.00E-02
5.14,-7.58E-02
5.15,-8.04E-02
5.16,-5.08E-02
5.17,-6.20E-02
5.18,-5.98E-02
5.19,-6.38E-02
5.2,-7.73E-02
5.21,-5.27E-02
5.22,-7.16E-02
5.23,-6.86E-02
5.24,-5.23E-02
5.25,-7.43E-02
5.26,-7.15E-02
5.27,-7.94E-02
5.28,-6.81E-02
5.29,-4.57E-02
5.3,-5.65E-02
5.31,-6.62E-02
5.32,-8.24E-02
5.33,-7.23E-02
5.34,-5.60E-02
5.35,-5.36E-02
5.36,-5.12E-02
5.37,-7.67E-02
5.38,-8.62E-02
5.39,-7.20E-02
5.4,-5.46E-02
5.41,-4.66E-02
5.42,-6.35E-02
5.43,-8.13E-02
5.44,-7.74E-02
5.45,-5.67E-02
5.46,-5.28E-02
5.47,-6.08E-02
5.48,-7.53E-02
5.49,-7.63E-02
5.5,-6.35E-02
5.51,-6.92E-02
5.52,-5.71E-02
5.53,-5.30E-02
5.54,-7.49E-02
5.55,-7.74E-02
5.56,-5.65E-02
5.57,-4.70E-02
5.58,-7.66E-02
5.59,-7.36E-02
5.6,-5.68E-02
5.61,-7.46E-02
5.62,-7.48E-02
5.63,-7.19E-02
5.64,-5.61E-02
5.65,-4.33E-02
5.66,-6.54E-02
5.67,-7.58E-02
5.68,-7.62E-02
5.69,-7.70E-02
5.7,-5.96E-02
5.71,-3.69E-02
5.72,-5.59E-02
5.73,-8.48E-02
5.74,-7.90E-02
5.75,-7.76E-02
5.76,-5.83E-02
5.77,-4.04E-02
5.78,-5.63E-02
5.79,-7.21E-02
5.8,-8.05E-02
5.81,-6.86E-02
5.82,-7.34E-02
5.83,-6.58E-02
5.84,-4.15E-02
5.85,-5.18E-02
5.86,-6.94E-02
5.87,-1.07E-01
5.88,-9.07E-02
5.89,-4.90E-02
5.9,-4.69E-02
5.91,-3.17E-02
5.92,-5.78E-02
